T_m_K,Ts_over_Tm,alpha,beta_mean_deg,beta_sim_deg,beta_tangent_deg,checkpoint,height_nm,material,n_windows,offset_tangent_deg,radius_nm,status
923.0,0.32302275189599133,85.0,8.780365348418426,8.780365348418426,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mg_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Mg,2,-71.295,0.14100000262260437,OK
2896.0,0.10295234806629834,60.0,1.8401981410669543,1.8401981410669543,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mo_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Mo,2,-39.053,0.15399999916553497,OK
2896.0,0.10295234806629834,75.0,3.5940910775091583,3.5940910775091583,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mo_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Mo,2,-58.219,0.15399999916553497,OK
2896.0,0.10295234806629834,85.0,8.152808463956829,8.152808463956829,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mo_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Mo,2,-71.922,0.15399999916553497,OK
1728.0,0.17254050925925923,60.0,1.4845131072820084,1.4845131072820084,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ni_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Ni,2,-39.409,0.12399999797344208,OK
1728.0,0.17254050925925923,75.0,1.090170792646486,1.090170792646486,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ni_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Ni,2,-60.723,0.12399999797344208,OK
1728.0,0.17254050925925923,85.0,11.592827138399054,11.592827138399054,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ni_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.2,Ni,2,-68.482,0.12399999797344208,OK
2041.4000244140625,0.14605172745874595,60.0,2.356882697552238,2.356882697552238,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Pt_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Pt,2,-38.537,0.13600000739097595,OK
2041.4000244140625,0.14605172745874595,75.0,2.9147001807359496,2.9147001807359496,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Pt_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Pt,2,-58.899,0.13600000739097595,OK
2041.4000244140625,0.14605172745874595,85.0,11.0503153633998,11.0503153633998,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Pt_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Pt,2,-69.025,0.13600000739097595,OK
1687.0,0.17673384706579726,60.0,1.840088441518493,1.840088441518493,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Si_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Si,2,-39.053,0.11100000143051147,OK
1687.0,0.17673384706579726,75.0,2.104425116791536,2.104425116791536,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Si_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Si,2,-59.709,0.11100000143051147,OK
1687.0,0.17673384706579726,85.0,12.129112866539067,12.129112866539067,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Si_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Si,2,-67.946,0.11100000143051147,OK
1941.0,0.15360638845955693,60.0,1.735631858839113,1.735631858839113,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ti_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Ti,2,-39.158,0.1599999964237213,OK
1941.0,0.15360638845955693,75.0,4.7285190073711245,4.7285190073711245,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ti_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Ti,2,-57.085,0.1599999964237213,OK
1941.0,0.15360638845955693,85.0,21.919283079084124,21.919283079084124,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ti_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Ti,2,-58.156,0.1599999964237213,OK
3695.0,0.08069012178619756,60.0,2.1692271459765924,2.1692271459765924,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_W_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.2,W,2,-38.724,0.16200000047683716,OK
3695.0,0.08069012178619756,75.0,2.7824708963879887,2.7824708963879887,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_W_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.2,W,2,-59.031,0.16200000047683716,OK
2128.0,0.14010808270676692,60.0,1.2379184062187327,1.2379184062187327,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Zr_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.2,Zr,2,-39.655,0.17499999701976776,OK
2128.0,0.14010808270676692,75.0,2.834251371281042,2.834251371281042,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Zr_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Zr,2,-58.979,0.17499999701976776,OK
2128.0,0.14010808270676692,85.0,19.545464225386613,19.545464225386613,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Zr_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Zr,2,-60.53,0.17499999701976776,OK
